threadid	postid	abspos	relpos	noresponses	noofupvotes	cosinesimwthread	cosinesimwtitle	wordcount	uniquewordcount	ttr	relpunctcount	avgwordlength	avgsentlength	relauthorcountsinthread	votes_for_this_post
213655	21	0.0422433135643	-0.324572078328	-0.179358553461	0.0	-0.908979157551	-0.681832663971	-0.534129824723	-0.599414319095	0.596268514978	-0.3027232994	0.301371696895	-0.366877431241	-0.337723941376	2
215636	31	0.797718303337	0.380379876622	-0.179358553461	0.0	-0.993872249172	-0.681832663971	-0.483502661544	-0.510870885821	0.655188287398	-0.317787776623	-0.209268928336	-0.439637076141	1.36997190893	1
184636	11	-0.713231676209	-0.762384345086	-0.179358553461	0.0	0.253039997457	1.55769001424	0.0396446913062	0.167962102613	-0.18932845062	-0.205105486991	-0.212203644573	-0.119494638579	-0.264778885985	8
249748	3	-1.31761166803	-1.59348559724	-0.179358553461	0.0	-1.71227539004	-0.681832663971	-0.71976275638	-0.894559096675	0.989066997778	0.0547156601779	0.0152368637914	-1.16723352514	-0.337723941376	3
258983	2	-1.393159167	-1.66398079273	-0.179358553461	0.0	-0.274378313335	-0.681832663971	0.00589324918681	0.0499041915809	-0.509980273313	-0.315092028068	-0.022944393373	0.178819905512	-0.164479434823	5
116293	19	-0.10885168439	0.835887293666	-0.179358553461	0.0	0.297359439124	1.3297750989	-0.584756987902	-0.746986707885	-0.441841760991	-0.432046042335	-0.626208256572	0.433478662663	-0.0769052886529	1
116056	16	-0.335494181322	1.12057942932	-0.179358553461	0.0	0.175634362006	-0.681832663971	-0.415999777305	-0.510870885821	-0.40209429547	-0.357802794249	-0.171851296314	-0.439637076141	-0.300600118543	7
114515	14	-0.486589179277	0.0827334956431	-0.179358553461	0.0	0.318176756814	-0.681832663971	-0.196615403529	-0.0681537194511	0.447642062027	-0.184329238967	-0.0151017567663	0.239452942929	-0.316641276557	3
233913	21	0.0422433135643	0.893987729514	-0.179358553461	0.0	0.117648374277	-0.681832663971	-0.466626940484	-0.481356408063	0.671087273607	-0.222666363297	-0.430211136461	-0.0758388516392	-0.318278129416	3
232192	23	0.193338311519	-0.183581687338	-0.179358553461	0.0	-2.20489290868	-0.681832663971	-0.804141361678	-1.04213148546	0.989066997778	0.881820330707	7.87293958824	-1.45827210475	-0.213977865266	0
258245	25	0.344433309473	-0.042591296348	0.190377167667	0.0	0.319257378497	-0.681832663971	-0.196615403529	-0.0976681972091	0.267167083444	-0.383791929407	-0.338713709382	1.08831546677	-0.0407333587132	2
280847	4	-1.24206416905	-1.03623786142	-0.179358553461	0.0	0.28783359376	0.709322997432	0.0396446913062	0.226991058129	0.0725372045794	-0.412138976076	0.0225736543838	2.10695049537	-0.244619750779	9
240639	16	-0.335494181322	0.343826812291	-0.179358553461	0.0	0.570543174539	3.24194009585	0.174650459784	0.374563446919	-0.142725240796	-0.28412943037	0.211837981191	-0.172851711506	-0.270809396517	5
269715	42	1.62874079209	1.15582702707	-0.179358553461	0.0	1.48835824952	0.570343544799	2.50349996602	2.76523614532	-1.28198615912	-0.356032753771	-0.210788426083	0.454267132635	-0.312974726154	2
217536	15	-0.411041680299	-0.747543251298	-0.179358553461	0.0	-0.218419982516	-0.681832663971	-0.331621172007	-0.245240585999	0.758805818206	-0.0419919628378	-0.255718402569	0.578997952464	0.751241528387	0
279669	37	1.2510032972	0.803351049592	-0.179358553461	0.0	-0.428056402265	1.39365150903	-0.297869729888	-0.156697152725	0.989066997778	-0.195649630518	0.316991960736	-0.767055478192	-0.213977865266	2
207621	26	0.419980808451	0.027903899147	-0.179358553461	0.0	-0.614926786014	-0.681832663971	-0.618508430022	-0.746986707885	0.432602480479	-0.285775762523	-0.171851296314	-0.730675655742	-0.337723941376	0
259161	33	0.948813301292	0.911552977561	-0.179358553461	0.0	1.09817393393	0.734565842981	0.950933628529	1.08291091311	-1.04600323692	-0.379632704998	0.11858079985	2.21608996272	0.155533673628	1
198410	5	-1.16651667007	-1.45249520625	-0.179358553461	0.0	-0.727779322537	-0.681832663971	-0.652259872141	-0.806015663401	0.321309577019	-0.0886491493805	0.0152368637914	-0.14859849654	-0.337723941376	0
188171	16	-0.335494181322	0.521370267612	-0.179358553461	0.0	-0.853113057473	0.503768099238	-0.500378382604	-0.510870885821	0.989066997778	-0.259584114623	-0.713422286095	-0.22135814144	-0.312974726154	3
105430	14	-0.486589179277	-0.223235234804	-0.179358553461	0.0	0.198700267036	1.74537225652	-0.16286396141	-0.0976681972091	-0.0382521110819	-0.162300850994	0.0440196576539	1.23383475657	-0.323802507813	4
233189	28	0.571075806405	0.168894290137	-0.179358553461	0.0	-0.0513466852359	0.11941837444	-0.0447339139923	0.197476580371	0.553573027718	-0.128976969599	1.46313653765	-0.26501392838	-0.26347629571	2
186650	10	-0.788779175186	-0.113086491843	-0.179358553461	0.0	-0.722641092636	-0.681832663971	-0.635384151081	-0.746986707885	0.989066997778	-0.3027232994	0.457445242224	-0.00307920673881	-0.306224940184	3
198410	30	0.72217080436	0.309884681127	-0.179358553461	0.0	-0.920846386645	-0.681832663971	-0.618508430022	-0.717472230127	0.989066997778	0.596841197665	-0.483664896491	-0.00307920673881	2.16194679603	0
258983	24	0.268885810496	-0.113086491843	0.00550930710291	0.0	0.580956110983	-0.681832663971	-0.17973968247	-0.156697152725	-0.241012461515	-0.305355926487	-0.162004551046	1.16107511167	-0.139730219601	0
279669	11	-0.713231676209	-1.02952403328	-0.179358553461	0.0	0.469877959457	0.751488767173	0.00589324918681	0.197476580371	0.17140484991	0.0914379706358	-0.145124416299	-0.585156365942	0.52849859139	2
233017	22	0.117790812542	-0.254076882833	-0.179358553461	0.0	-0.704138752024	-0.681832663971	-0.736638477439	-0.924073574433	0.989066997778	-0.0616916638225	-1.40663315301	-0.876194945543	-0.337723941376	1
251261	2	-1.393159167	-1.54502015033	-0.179358553461	0.0	-0.361025495315	-0.681832663971	-0.382248335186	-0.304269541515	0.989066997778	-0.175512158401	0.245499214691	-0.621536188392	-0.01443731754	3
115985	8	-0.93987417314	-0.65535722642	-0.179358553461	0.0	-1.87706646536	-0.681832663971	-0.787265640619	-1.01261700771	0.989066997778	0.0846489720637	1.13776582443	-1.31275281495	-0.31487851194	2
214449	2	-1.393159167	-1.66398079273	-0.179358553461	0.0	0.245137699066	3.52097364092	-0.14598824035	-0.0681537194511	-0.0125691333604	-0.374328476852	0.033945679802	0.336465802796	-0.288225510932	7
269715	46	1.930930788	1.43780780905	0.00550930710291	0.0	0.0979879237849	1.86267225184	-0.129112519291	-0.00912476393513	0.174728679779	-0.405491924843	-0.158161918746	-0.112218674089	-0.288225510932	1
233076	19	-0.10885168439	0.260751666085	-0.179358553461	0.0	1.34630259289	-0.188193061837	1.27157232866	1.43708464621	-1.11113779332	-0.251441633411	0.304921756859	0.287959372863	-0.137480290944	4
